0.7m Vel X			
PUNTOS	ENTRE	VAL	PRED
1	7.430459119	7.271080956	9.596947636
4	2.131225575	1.858457542	3.786287915
6	0.860584676	0.884995145	1.251810149
11	0.37965382	0.513414109	0.596881772
21	0.286959604	0.352327925	0.52535515
41	0.262083158	0.339316726	0.488186113
82	0.255979518	0.33629547	0.485920227
