#0.3m Velx			
#PUNTOS	ENTRE	VAL	PRED
1	32.07315686	36.65205055	43.19092516
4	1.999458115	1.949947911	2.94919815
6	0.277034037	0.4210572	0.865737508
11	0.258853305	0.366134129	0.793872552
21	0.183291796	0.141284919	0.378824613
41	0.162763956	0.133292516	0.326964202
82	0.158763987	0.131841672	0.318788932
