#Time	0.3	0.5	0.7
5000	1.498217613	8.29750248	0.817876222
10000	0.294623222	1.913337577	0.461247387
15000	0.259813467	1.427257693	0.256384514
20000	0.257211075	1.382670968	0.233887429
25000	0.257191297	1.378770665	0.232619692
30000	0.257228377	1.378874137	0.23301299
35000	0.257234224	1.378935956	0.233141407
40000	0.257235102	1.378949446	0.233157623
45000	0.257235244	1.378951639	0.233156137
50000	0.257235279	1.378952006	0.233154829
55000	0.257235286	1.378952064	0.233154483
60000	0.257235287	1.378952069	0.233154438
65000	0.257235287	1.378952068	0.233154442
70000	0.257235287	1.378952067	0.233154446
75000	0.257235287	1.378952067	0.233154447
80000	0.257235287	1.378952067	0.233154447
85000	0.257235287	1.378952067	0.233154447
90000	0.257235287	1.378952067	0.233154447
95000	0.257235287	1.378952067	0.233154447
100000	0.257235287	1.378952067	0.233154447
