#Todos puntos				
#	Velocidad X			
#%Error	0.3	0.7	1.1	1.9
12	1.662152108	3.059960936	0.264393515	0.295166575	0.602446948
17	1.207406082	3.392861689	1.259903357	0.555003694	0.035204712
22	0.723267973	3.001903491	1.614000184	1.083552173	0.450455788
27	0.314421067	2.339689893	1.544869084	1.266629944	0.810343622
32	0.010331766	1.572461381	1.1953778	1.120542016	1.004196706
37	0.181788008	0.785301678	0.67598797	0.693287703	1.020175636
52	0.135911108	0.53301327	0.480361671	0.481286712	0.455631675
64	0.015099962	0.018202516	0.124301226	0.333948039	0.557685487
70	0.075871781	0.209224055	0.038438377	0.234344807	0.34039823
76	0.026011449	0.099536547	0.054229838	0.353001696	0.079837918
92	0.062446847	0.282760222	0.524049042	0.405179347	0.189188515
99	0.397403112	0.005566342	0.336235687	0.392496856	0.255644976
102	0.264205804	0.152669471	0.485203783	0.049350314	0.694741978
107	0.01825915	0.228586609	0.315699427	0.520953355	0.159730232
112	0.151230071	0.348924252	0.731812143	0.200249732	0.249132701
116	0.366925897	0.61912608	0.426175641	0.128895802	0.26069725
117	0.381898299	0.07550659	0.075355567	0.23415041	0.081078013
118	0.482807525	0.815747435	0.640697201	0.126345559	0.201409832
119	0.476953588	0.389644114	0.162563551	0.019792605	0.254752676
120	0.706895133	0.837365534	1.136561138	1.575447375	0.392126512
