#1.1m Velx			
#PUNTOS	ENTRE	VAL	PRED
1	4.314167715	3.930505579	10.17818054
4	1.738358919	1.879726646	4.182473808
6	0.486588296	0.527917453	1.291610187
11	0.421537083	0.369908026	0.77201445
21	0.275131322	0.228353521	0.667235888
41	0.264673266	0.226627081	0.459306976
82	0.262748402	0.219520853	0.496655158
