1 12	12.077	0.09794275
2 17	17.018	0.104554076
3 22	21.936	0.211088655
4 27	26.850	0.258693845
5 32	31.801	0.274494837
6 37	36.844	0.257148661
7 52	52.200	0.438558096
8 64	64.069	0.361183173
9 70	70.056	0.332557416
10 76	75.957	0.652197378
11 92	92.267	0.355402672
12 99	99.819	0.764535452
13 102	101.671	0.544343182
14 107	107.069	1.032409828
15 112	111.737	1.01099502
16 116	115.461	1.667338305
17 117	116.876	1.554830247
18 118	116.405	1.54102346
19 119	118.425	1.099699749
20 	120	117.759	1.291261811
