#Vort 1.9m	ENTRE	VAL	PRED
1	17.70997633	19.85968449	22.6625662
4	0.702416516	1.40606484	2.01648096
6	0.513717997	0.868542227	1.474167252
11	0.346251525	0.890270096	1.266606452
21	0.394365636	0.755582599	1.159052953
41	0.426814479	0.750304551	1.199967347
82	0.463196578	0.735495703	1.026433746
