Time	0.3	0.5	0.7	1.1	1.5	1.9
5000	0.407043915	0.514710186	0.492598276	0.154967807	0.673209789	5.409909754
10000	0.443170156	0.421612505	0.853189897	0.118382979	0.850567016	0.196551367
15000	0.198631988	0.494841968	0.260916751	0.073036959	0.065893712	0.136942723
20000	0.550467904	0.198937836	0.696618906	0.193050913	0.675574558	0.143286791
25000	0.287841988	0.532360762	0.288083776	0.363493164	0.089737396	0.363888919
30000	0.457294925	0.295955091	0.686172315	0.07591309	0.478485312	0.094529967
35000	0.207850251	0.854865753	0.0121775	0.123881825	0.183035876	0.009765294
40000	0.50142021	0.090545723	0.555894359	0.276838646	0.368836638	0.129228064
45000	0.346380769	0.721107491	0.277931249	0.368692417	0.173247109	0.300589623
50000	0.414423819	0.327006871	0.475216067	0.001481295	0.080227242	0.100225421
55000	0.271090559	0.956860447	0.418427939	0.084024892	0.523389295	0.173844955
60000	0.405885189	0.019661654	0.306366097	0.109371882	0.047506231	0.15439553
65000	0.432634009	0.712777755	0.440925139	0.254261442	0.474167766	0.244986496
70000	0.348123497	0.360143537	0.314460872	0.006659148	0.205565944	0.270329595
75000	0.358290801	0.778212974	0.762789525	0.022219753	0.809660074	0.284669402
80000	0.298126219	0.041317799	0.005274063	0.019223639	0.136890886	0.189541233
85000	0.512477742	0.513913119	0.634285086	0.130991905	0.71956098	0.203097469
90000	0.292358286	0.349276701	0.303880927	0.128226643	0.289210993	0.370587169
95000	0.43153606	0.502917757	0.875521887	0.123054342	0.876909925	0.289898691
100000	0.218323029	0.29774372	0.250079487	0.02623965	0.135446873	0.172992187
